CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,0.14174944828846867,0.21421421421421422,0.30655708718015034,0.0,0.5064809103270642,0.0,0.34184184184184185,0.0,0.45295295295295296,0.0,0.0,0.3238238238238238,0.05855855855855856,0.11744318904549356,0.17369053134137774,0.0,1.0
C10002,0.8507877256594574,0.2827827827827828,0.0,0.0,0.0,0.9737174751997202,0.0,0.0,0.0,0.7832832832832832,0.7557557557557557,0.0,0.7892892892892893,0.9073646413485663,0.8112566712223972,0.7907907907907907,1.0
C10003,0.7929646440597041,1.0,0.6683164997462112,0.7907426067702252,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6501501501501501,0.8218218218218218,0.3987753442769746,0.6886628576155391,0.0,1.0
C10004,0.6943158904899226,0.14814814814814814,0.8114998684357734,0.8917089108396744,0.0,0.5923459851539522,0.26626626626626626,0.5425425425425425,0.0,0.5740740740740741,0.5665665665665666,0.26576576576576577,0.8218218218218218,0.0,0.555182484443876,0.0,1.0
C10005,0.4846944519781379,1.0,0.23352954000436016,0.48589070470908546,0.0,0.0,0.26626626626626626,0.5425425425425425,0.0,0.0,0.0,0.26576576576576577,0.12862862862862862,0.4256139555488526,0.4447298614817408,0.0,1.0
C10006,0.7173080875733099,1.0,0.7881900647924321,0.0,0.9208880876121068,0.0,0.5980980980980981,0.0,0.6706706706706707,0.0,0.0,0.527027027027027,0.27627627627627627,0.6588027206077145,0.9363104390725139,0.0,1.0
C10007,0.44060406374367783,1.0,0.9836924090157025,0.9889962926644728,0.821695360587677,0.0,1.0,1.0,1.0,0.0,0.0,0.958958958958959,0.970970970970971,0.9537046176780982,0.37312398306935163,1.0,1.0
C10008,0.719753279207056,1.0,0.5402101290565123,0.0,0.7338237143253832,0.0,1.0,0.0,1.0,0.0,0.0,0.6501501501501501,0.34134134134134136,0.42599289228933,0.6458769903820224,0.0,1.0
C10009,0.5399561609685571,1.0,0.6932178995949597,0.7692600164761644,0.5900900900900901,0.0,0.43243243243243246,0.5425425425425425,0.524024024024024,0.0,0.0,0.4269269269269269,0.7892892892892893,0.4311442501051119,0.5084108861240814,0.0,1.0
C10010,0.26789919875787055,0.11861861861861862,0.7796430643379023,0.8698201961861051,0.0,0.0,0.34184184184184185,0.6591591591591591,0.0,0.0,0.0,0.36236236236236236,0.9374374374374375,0.5963824266829337,0.099071898995571,0.0,1.0
C10011,0.6184989868160855,1.0,0.7066622811054232,0.0,0.8676159908519647,0.0,1.0,0.0,1.0,0.0,0.0,0.6501501501501501,0.12862862862862862,0.5733408030839164,0.9282581447099227,0.0,1.0
C10012,0.4411924547698409,0.21421421421421422,0.8101320048933229,0.8909128170686997,0.0,0.0,0.3883883883883884,0.7237237237237237,0.0,0.0,0.0,0.4614614614614615,0.3133133133133133,0.4394700577855891,0.21428578381738447,0.0,1.0
C10013,0.6675456432048571,1.0,0.9298187669198091,0.944808798305073,0.8283387467400787,0.0,1.0,0.7237237237237237,0.8323323323323324,0.0,0.0,0.8383383383383383,0.46846846846846846,0.39149516595799577,0.6246553476661663,0.8008008008008007,1.0
C10014,0.5135496094987557,1.0,0.8735400630450315,0.7048890793556761,0.9489571140544045,0.0,0.6366366366366366,0.6591591591591591,0.7412412412412412,0.0,0.0,0.8383383383383383,0.8218218218218218,0.7103307724997484,0.4512343630146103,0.6831831831831832,1.0
C10015,0.8198187853233454,1.0,0.0,0.0,0.0,0.628397096937318,0.0,0.0,0.0,0.5740740740740741,0.5665665665665666,0.0,0.46846846846846846,0.48175138076881113,0.7948855713733365,0.0,1.0
C10016,0.9662945939323496,1.0,0.8242819509356116,0.0,0.9410908098855538,0.8556655440703651,0.515015015015015,0.0,0.6376376376376376,0.6996996996996997,0.7557557557557557,0.6061061061061062,0.8468468468468469,0.7631576060801272,0.9253490795831314,0.0,1.0
C10017,0.7520964593489096,0.24474474474474475,0.0,0.0,0.0,0.884883363067903,0.0,0.0,0.0,0.7832832832832832,0.7097097097097097,0.0,0.46846846846846846,0.25579621219677173,0.5536219126307831,0.0,0.05455455455455456
C10018,0.14225814840153883,0.0920920920920921,0.5813413840035131,0.0,0.7694752644881941,0.0,0.47297297297297297,0.0,0.5560560560560561,0.0,0.0,0.527027027027027,0.3798798798798799,0.15257187176466866,0.05319841814852436,0.8008008008008007,1.0
C10019,0.7428291162203355,1.0,0.57572607272073,0.598945196447994,0.6835056241908017,0.0,0.5980980980980981,0.5425425425425425,0.6706706706706707,0.0,0.0,0.5555555555555556,0.9664664664664665,0.7222107146074704,0.7304973804934105,0.0,1.0
C10020,0.8701180747845905,1.0,0.5195948703084806,0.0,0.7141085260017297,0.0,1.0,0.0,1.0,0.0,0.0,0.6501501501501501,0.571071071071071,0.5633063068871854,0.9936849686164162,0.0,1.0
